my_predicted_digit   target(correct_digit)
9                        9
9                        9
8                        8
9                        9
1                        1
8                        1
1                        1
8                        8
9                        9
9                        9
8                        8
9                        9
9                        9
1                        1
9                        9
1                        1
9                        9
9                        9
8                        8
8                        8
9                        9
9                        9
1                        1
8                        8
8                        8
1                        1
9                        9
8                        8
1                        1
9                        8
1                        1
1                        1
8                        8
8                        8
1                        1
9                        9
8                        8
9                        9
1                        1
8                        9
9                        9
9                        9
9                        9
9                        9
8                        8
8                        8
9                        9
8                        8
1                        1
1                        1
1                        1
1                        1
1                        1
1                        1
8                        8
8                        8
8                        8
8                        8
9                        9
9                        9
8                        8
8                        8
1                        1
9                        9
9                        9
8                        8
1                        8
1                        1
8                        8
8                        8
9                        9
1                        1
8                        8
1                        1
9                        9
8                        9
9                        9
9                        9
9                        9
9                        8
8                        8
1                        1
8                        8
1                        1
9                        9
9                        9
8                        8
8                        8
1                        1
9                        9
8                        9
1                        9
9                        9
9                        8
1                        1
8                        8
8                        8
1                        1
8                        8
8                        8
8                        8
8                        8
9                        9
1                        1
9                        9
8                        8
8                        8
8                        8
1                        1
1                        1
9                        9
8                        8
1                        1
8                        8
8                        8
9                        9
1                        1
1                        8
8                        1
9                        9
1                        1
8                        8
9                        9
8                        1
9                        9
8                        8
9                        9
1                        1
8                        8
9                        9
8                        8
9                        9
1                        1
1                        1
9                        9
8                        8
1                        8
1                        1
8                        9
9                        9
1                        1
9                        9
8                        8
8                        8
8                        8
9                        9
8                        8
9                        9
9                        9
1                        1
9                        9
9                        9
1                        1
8                        8
1                        1
8                        8
8                        8
8                        8
9                        9
9                        9
1                        1
1                        1
1                        1
9                        9
1                        1
8                        8
1                        1
8                        8
8                        8
8                        8
1                        1
8                        9
9                        9
8                        8
8                        8
1                        1
9                        9
8                        8
8                        8
1                        1
1                        1
9                        9
1                        1
1                        1
1                        1
1                        1
1                        1
8                        8
1                        1
8                        8
9                        9
1                        1
8                        8
9                        1
9                        9
9                        9
8                        8
1                        1
1                        1
1                        1
9                        9
9                        9
9                        8
1                        1
1                        1
1                        1
1                        1
1                        1
9                        9
8                        8
1                        1
9                        9
8                        8
1                        1
8                        8
1                        1
9                        9
8                        8
1                        1
1                        9
9                        9
9                        9
1                        1
9                        9
9                        9
8                        8
1                        1
9                        9
9                        9
1                        1
8                        1
8                        8
8                        8
9                        9
9                        9
1                        1
8                        8
9                        8
9                        9
8                        9
1                        1
8                        8
8                        8
8                        1
9                        9
1                        1
8                        8
9                        9
1                        1
9                        1
1                        1
9                        9
9                        9
8                        8
1                        1
9                        8
9                        9
9                        9
1                        1
1                        1
1                        1
8                        8
8                        8
1                        1
1                        1
8                        9
1                        8
8                        8
9                        9
9                        9
1                        1
1                        1
9                        9
8                        8
9                        9
8                        8
9                        9
1                        1
9                        9
1                        1
1                        1
1                        1
1                        1
8                        1
1                        1
1                        1
9                        9
1                        1
1                        9
9                        9
8                        8
9                        1
8                        8
9                        9
8                        8
9                        9
9                        9
9                        9
8                        8
1                        1
8                        8
1                        1
9                        9
1                        9
9                        9
9                        9
9                        9
1                        1
8                        9
9                        9
8                        8
9                        9
9                        9
9                        8
1                        1
9                        9
9                        9
8                        8
1                        1
9                        9
1                        1
8                        8
8                        8
1                        1
9                        9
1                        1
8                        8
9                        9
1                        1
8                        8
9                        9
1                        1
8                        8
8                        8
1                        1
1                        1
9                        9
9                        9
9                        9
8                        8
1                        1
8                        8
1                        1
9                        9
1                        1
1                        1
8                        8
1                        1
9                        9
8                        8
1                        1
8                        8
9                        9
9                        9
8                        8
1                        1
9                        9
1                        8
1                        1
8                        8
8                        1
1                        1
8                        8
8                        8
8                        8
8                        8
9                        9
8                        8
8                        8
9                        9
9                        9
1                        1
8                        8
1                        1
8                        8
8                        8
9                        9
1                        1
8                        8
8                        8
8                        8
1                        1
9                        8
9                        9
8                        9
9                        9
9                        8
8                        9
9                        9
1                        1
1                        1
1                        1
9                        9
1                        1
8                        8
1                        1
9                        9
8                        8
1                        1
1                        1
8                        1
8                        8
9                        9
9                        9
8                        8
1                        1
1                        1
8                        8
9                        9
1                        1
1                        1
1                        1
9                        9
8                        8
9                        9
9                        8
9                        9
9                        9
1                        1
1                        1
1                        1
1                        1
1                        8
8                        8
8                        8
8                        8
8                        8
1                        1
8                        1
Accuracy: 387/429 = 0.9020979020979021%
 Final cycles used: 55
